0_0, 0_1, 0_2, 1_0, 1_1, 1_2, 2_0, 2_1, 2_2, has_horizontal, has_vertical
0.612, 0.612, 0.612, 0.186, 0.186, 0.186, 0, 0, 0, 1, 0
0, 0.729, 1, 0, 0.729, 1, 0, 0.729, 1, 0, 1
0.62, 0.62, 0.62, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.595, 0.555, 0, 0.595, 0.555, 0, 0.595, 0.555, 0, 0, 1
0.459, 0, 0, 0.459, 0, 0, 0.459, 0, 0, 0, 1
0.718, 0.718, 0.718, 0, 0, 0, 0.802, 0.802, 0.802, 1, 0
0.756, 0, 0.136, 1, 0.638, 0.774, 1, 0.245, 0.381, 1, 1
0.275, 0.678, 0.812, 0.583, 0.986, 1, 0, 0.403, 0.537, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.556, 0.556, 0.556, 0.346, 0.346, 0.346, 0, 0, 0, 1, 0
0.908, 0.1, 0.296, 0.808, 0, 0.196, 1, 0.612, 0.808, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0.433, 0.433, 0.433, 0.1, 0.1, 0.1, 1, 0
0, 0, 0.765, 0.125, 0.125, 0.891, 0, 0, 0.765, 1, 1
1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
0.741, 0.24, 0, 0.741, 0.24, 0, 0.741, 0.24, 0, 0, 1
0, 0, 0, 0.779, 0.779, 0.779, 1, 1, 1, 1, 0
0.241, 0, 0.329, 1, 0.775, 1, 0.397, 0.156, 0.485, 1, 1
0.562, 0, 0, 1, 0.782, 0.782, 0.562, 0, 0, 1, 1
0.516, 0.516, 0.516, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.36, 0.348, 0, 0.36, 0.348, 0, 0.36, 0.348, 0, 0, 1
0.871, 0.871, 0.871, 0.546, 0.546, 0.546, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0
0, 0.806, 0.268, 0, 0.806, 0.268, 0, 0.806, 0.268, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.713, 0.514, 0.514, 0.36, 0.16, 0.16, 0.2, 0, 0, 1, 1
0, 0.754, 0.731, 0, 0.754, 0.731, 0.293, 1, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.249, 0.141, 0, 0.249, 0.141, 0, 0.249, 0.141, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.1, 0.512, 0.278, 0.378, 0.79, 0, 0.1, 0.512, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 0, 0.837, 1, 0.837, 0, 1, 0, 1, 1
0, 0.659, 0.204, 0, 0.659, 0.204, 0.367, 1, 0.571, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.136, 0, 0.39, 0.635, 0.499, 0.889, 0.793, 0.657, 1, 1, 1
0, 0, 0, 0, 0, 0, 0.889, 0.889, 0.889, 1, 0
0.21, 0, 1, 0.21, 0, 1, 0.21, 0, 1, 0, 1
0.338, 0.338, 0.338, 0.764, 0.764, 0.764, 0, 0, 0, 1, 0
0.554, 1, 0.554, 0.207, 0.731, 0.207, 0, 0.524, 0, 1, 1
0.714, 0.714, 0.714, 0.91, 0.91, 0.91, 0, 0, 0, 1, 0
0.442, 0.371, 0, 0.442, 0.371, 0, 0.442, 0.371, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.307, 1, 0.307, 0.362, 1, 0.362, 0, 0.894, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.352, 0.618, 0, 0.352, 0.618, 0, 0.352, 0.618, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
